target,source,value,tipo,regiao,count,uf,funcao
precise location (GPS and network-based),Pronto Mobile,1,app,Pronto Mobile,1,Pronto Mobile,precise location (GPS and network-based)
precise location (GPS and network-based),Santa Isabel Contra o Coronavírus,1,app,Santa Isabel Contra o Coronavírus,1,Santa Isabel Contra o Coronavírus,precise location (GPS and network-based)
precise location (GPS and network-based),SASI,1,app,SASI,1,SASI,precise location (GPS and network-based)
precise location (GPS and network-based),Saúde Santo André,1,app,Saúde Santo André,1,Saúde Santo André,precise location (GPS and network-based)
precise location (GPS and network-based),Simot,1,app,Simot,1,Simot,precise location (GPS and network-based)
precise location (GPS and network-based),Telemedicina Paraná,1,app,Telemedicina Paraná,1,Telemedicina Paraná,precise location (GPS and network-based)
modify or delete the contents of your USB storage,Alô Saúde Floripa,1,app,Alô Saúde Floripa,1,Alô Saúde Floripa,modify or delete the contents of your USB storage
modify or delete the contents of your USB storage,Atende em Casa,1,app,Atende em Casa,1,Atende em Casa,modify or delete the contents of your USB storage
modify or delete the contents of your USB storage,Ceará App,1,app,Ceará App,1,Ceará App,modify or delete the contents of your USB storage
modify or delete the contents of your USB storage,Colab,1,app,Colab,1,Colab,modify or delete the contents of your USB storage
modify or delete the contents of your USB storage,Distanciamento Controlado RS,1,app,Distanciamento Controlado RS,1,Distanciamento Controlado RS,modify or delete the contents of your USB storage
modify or delete the contents of your USB storage,e-Saúde SP,1,app,e-Saúde SP,1,e-Saúde SP,modify or delete the contents of your USB storage
modify or delete the contents of your USB storage,ISUS,1,app,ISUS,1,ISUS,modify or delete the contents of your USB storage
modify or delete the contents of your USB storage,KeyApp,1,app,KeyApp,1,KeyApp,modify or delete the contents of your USB storage
modify or delete the contents of your USB storage,Mais Saúde Cidadão,1,app,Mais Saúde Cidadão,1,Mais Saúde Cidadão,modify or delete the contents of your USB storage
modify or delete the contents of your USB storage,Minha Saúde,1,app,Minha Saúde,1,Minha Saúde,modify or delete the contents of your USB storage
modify or delete the contents of your USB storage,Monitora Covid-19,1,app,Monitora Covid-19,1,Monitora Covid-19,modify or delete the contents of your USB storage
modify or delete the contents of your USB storage,Pronto Mobile,1,app,Pronto Mobile,1,Pronto Mobile,modify or delete the contents of your USB storage
modify or delete the contents of your USB storage,Santa Isabel Contra o Coronavírus,1,app,Santa Isabel Contra o Coronavírus,1,Santa Isabel Contra o Coronavírus,modify or delete the contents of your USB storage
modify or delete the contents of your USB storage,SASI,1,app,SASI,1,SASI,modify or delete the contents of your USB storage
modify or delete the contents of your USB storage,Saúde Aparecida,1,app,Saúde Aparecida,1,Saúde Aparecida,modify or delete the contents of your USB storage
modify or delete the contents of your USB storage,Saúde Digital MG - Covid-19,1,app,Saúde Digital MG - Covid-19,1,Saúde Digital MG - Covid-19,modify or delete the contents of your USB storage
modify or delete the contents of your USB storage,Saúde Online PR,1,app,Saúde Online PR,1,Saúde Online PR,modify or delete the contents of your USB storage
modify or delete the contents of your USB storage,Saúde Santo André,1,app,Saúde Santo André,1,Saúde Santo André,modify or delete the contents of your USB storage
modify or delete the contents of your USB storage,Simot,1,app,Simot,1,Simot,modify or delete the contents of your USB storage
modify or delete the contents of your USB storage,Telemedicina Paraná,1,app,Telemedicina Paraná,1,Telemedicina Paraná,modify or delete the contents of your USB storage
Other,Alô Saúde Floripa,1,app,Alô Saúde Floripa,1,Alô Saúde Floripa,Other
Other,Ceará App,1,app,Ceará App,1,Ceará App,Other
Other,Colab,1,app,Colab,1,Colab,Other
Other,Dycovid - Dynamic Contact Tracing,1,app,Dycovid - Dynamic Contact Tracing,1,Dycovid - Dynamic Contact Tracing,Other
Other,Dycovid - Dynamic Contact Tracing,1,app,Dycovid - Dynamic Contact Tracing,1,Dycovid - Dynamic Contact Tracing,Other
Other,Dycovid - Dynamic Contact Tracing,1,app,Dycovid - Dynamic Contact Tracing,1,Dycovid - Dynamic Contact Tracing,Other
Other,KeyApp,1,app,KeyApp,1,KeyApp,Other
Other,Minha Saúde,1,app,Minha Saúde,1,Minha Saúde,Other
Other,Minha Saúde,1,app,Minha Saúde,1,Minha Saúde,Other
Other,Minha Saúde,1,app,Minha Saúde,1,Minha Saúde,Other
Other,Saúde Aparecida,1,app,Saúde Aparecida,1,Saúde Aparecida,Other
Other,Telemedicina Paraná,1,app,Telemedicina Paraná,1,Telemedicina Paraná,Other
receive data from Internet,Alô Saúde Floripa,1,app,Alô Saúde Floripa,1,Alô Saúde Floripa,receive data from Internet
receive data from Internet,Coronavírus - SUS,1,app,Coronavírus - SUS,1,Coronavírus - SUS,receive data from Internet
receive data from Internet,Dycovid - Dynamic Contact Tracing,1,app,Dycovid - Dynamic Contact Tracing,1,Dycovid - Dynamic Contact Tracing,receive data from Internet
receive data from Internet,Monitora Covid-19,1,app,Monitora Covid-19,1,Monitora Covid-19,receive data from Internet
receive data from Internet,Saúde Digital MG - Covid-19,1,app,Saúde Digital MG - Covid-19,1,Saúde Digital MG - Covid-19,receive data from Internet
receive data from Internet,Saúde Online PR,1,app,Saúde Online PR,1,Saúde Online PR,receive data from Internet
receber dados da internet,Alô Saúde Floripa,1,app,Alô Saúde Floripa,1,Alô Saúde Floripa,receber dados da internet
receber dados da internet,Atende em Casa,1,app,Atende em Casa,1,Atende em Casa,receber dados da internet
receber dados da internet,Ceará App,1,app,Ceará App,1,Ceará App,receber dados da internet
receber dados da internet,Colab,1,app,Colab,1,Colab,receber dados da internet
receber dados da internet,Coronavírus - SUS,1,app,Coronavírus - SUS,1,Coronavírus - SUS,receber dados da internet
receber dados da internet,Covid Monitor,1,app,Covid Monitor,1,Covid Monitor,receber dados da internet
receber dados da internet,CovidPR,1,app,CovidPR,1,CovidPR,receber dados da internet
receber dados da internet,Dados do Bem,1,app,Dados do Bem,1,Dados do Bem,receber dados da internet
receber dados da internet,Distanciamento Controlado RS,1,app,Distanciamento Controlado RS,1,Distanciamento Controlado RS,receber dados da internet
receber dados da internet,Dycovid - Dynamic Contact Tracing,1,app,Dycovid - Dynamic Contact Tracing,1,Dycovid - Dynamic Contact Tracing,receber dados da internet
receber dados da internet,e-Saúde SP,1,app,e-Saúde SP,1,e-Saúde SP,receber dados da internet
receber dados da internet,ISUS,1,app,ISUS,1,ISUS,receber dados da internet
receber dados da internet,Mais Saúde Cidadão,1,app,Mais Saúde Cidadão,1,Mais Saúde Cidadão,receber dados da internet
receber dados da internet,Meu Info Sáude,1,app,Meu Info Sáude,1,Meu Info Sáude,receber dados da internet
receber dados da internet,Minha Saúde,1,app,Minha Saúde,1,Minha Saúde,receber dados da internet
receber dados da internet,Monitora Covid-19,1,app,Monitora Covid-19,1,Monitora Covid-19,receber dados da internet
receber dados da internet,Pronto Mobile,1,app,Pronto Mobile,1,Pronto Mobile,receber dados da internet
receber dados da internet,Santa Isabel Contra o Coronavírus,1,app,Santa Isabel Contra o Coronavírus,1,Santa Isabel Contra o Coronavírus,receber dados da internet
receber dados da internet,SASI,1,app,SASI,1,SASI,receber dados da internet
receber dados da internet,Saúde Aparecida,1,app,Saúde Aparecida,1,Saúde Aparecida,receber dados da internet
receber dados da internet,Saúde Digital MG - Covid-19,1,app,Saúde Digital MG - Covid-19,1,Saúde Digital MG - Covid-19,receber dados da internet
receber dados da internet,Saúde Online PR,1,app,Saúde Online PR,1,Saúde Online PR,receber dados da internet
receber dados da internet,Saúde Santo André,1,app,Saúde Santo André,1,Saúde Santo André,receber dados da internet
receber dados da internet,Simot,1,app,Simot,1,Simot,receber dados da internet
receber dados da internet,Telemedicina Paraná,1,app,Telemedicina Paraná,1,Telemedicina Paraná,receber dados da internet
n/d,Dados do Bem,1,app,Dados do Bem,1,Dados do Bem,n/d
n/d,Dycovid - Dynamic Contact Tracing,1,app,Dycovid - Dynamic Contact Tracing,1,Dycovid - Dynamic Contact Tracing,n/d
retrieve running apps,Alô Saúde Floripa,1,app,Alô Saúde Floripa,1,Alô Saúde Floripa,retrieve running apps
retrieve running apps,Ceará App,1,app,Ceará App,1,Ceará App,retrieve running apps
retrieve running apps,Dycovid - Dynamic Contact Tracing,1,app,Dycovid - Dynamic Contact Tracing,1,Dycovid - Dynamic Contact Tracing,retrieve running apps
draw over other apps,CovidPR,1,app,CovidPR,1,CovidPR,draw over other apps
draw over other apps,Meu Info Sáude,1,app,Meu Info Sáude,1,Meu Info Sáude,draw over other apps
draw over other apps,Minha Saúde,1,app,Minha Saúde,1,Minha Saúde,draw over other apps
draw over other apps,Simot,1,app,Simot,1,Simot,draw over other apps
read phone status and identity,Alô Saúde Floripa,1,app,Alô Saúde Floripa,1,Alô Saúde Floripa,read phone status and identity
read phone status and identity,Saúde Santo André,1,app,Saúde Santo André,1,Saúde Santo André,read phone status and identity
n/d,e-Saúde SP,1,app,e-Saúde SP,1,e-Saúde SP,n/d
n/d,Minha Saúde,1,app,Minha Saúde,1,Minha Saúde,n/d
n/d,e-Saúde SP,1,app,e-Saúde SP,1,e-Saúde SP,n/d
n/d,Minha Saúde,1,app,Minha Saúde,1,Minha Saúde,n/d
view Wi-Fi connections,Aglomerações,1,app,Aglomerações,1,Aglomerações,view Wi-Fi connections
view Wi-Fi connections,Ceará App,1,app,Ceará App,1,Ceará App,view Wi-Fi connections
view Wi-Fi connections,Colab,1,app,Colab,1,Colab,view Wi-Fi connections
view Wi-Fi connections,Dados do Bem,1,app,Dados do Bem,1,Dados do Bem,view Wi-Fi connections
view Wi-Fi connections,Distanciamento Controlado RS,1,app,Distanciamento Controlado RS,1,Distanciamento Controlado RS,view Wi-Fi connections
view Wi-Fi connections,Dycovid - Dynamic Contact Tracing,1,app,Dycovid - Dynamic Contact Tracing,1,Dycovid - Dynamic Contact Tracing,view Wi-Fi connections
view Wi-Fi connections,e-Saúde SP,1,app,e-Saúde SP,1,e-Saúde SP,view Wi-Fi connections
view Wi-Fi connections,ISUS,1,app,ISUS,1,ISUS,view Wi-Fi connections
view Wi-Fi connections,Mais Saúde Cidadão,1,app,Mais Saúde Cidadão,1,Mais Saúde Cidadão,view Wi-Fi connections
view Wi-Fi connections,Minha Saúde,1,app,Minha Saúde,1,Minha Saúde,view Wi-Fi connections
view Wi-Fi connections,Monitora Covid-19,1,app,Monitora Covid-19,1,Monitora Covid-19,view Wi-Fi connections
view Wi-Fi connections,Pronto Mobile,1,app,Pronto Mobile,1,Pronto Mobile,view Wi-Fi connections
view Wi-Fi connections,Saúde Santo André,1,app,Saúde Santo André,1,Saúde Santo André,view Wi-Fi connections
view network connections,Aglomerações,1,app,Aglomerações,1,Aglomerações,view network connections
view network connections,Alô Saúde Floripa,1,app,Alô Saúde Floripa,1,Alô Saúde Floripa,view network connections
view network connections,Atende em Casa,1,app,Atende em Casa,1,Atende em Casa,view network connections
view network connections,Ceará App,1,app,Ceará App,1,Ceará App,view network connections
view network connections,Colab,1,app,Colab,1,Colab,view network connections
view network connections,Coronavírus - SUS,1,app,Coronavírus - SUS,1,Coronavírus - SUS,view network connections
view network connections,Covid Monitor,1,app,Covid Monitor,1,Covid Monitor,view network connections
view network connections,CovidPR,1,app,CovidPR,1,CovidPR,view network connections
view network connections,Dados do Bem,1,app,Dados do Bem,1,Dados do Bem,view network connections
view network connections,Distanciamento Controlado RS,1,app,Distanciamento Controlado RS,1,Distanciamento Controlado RS,view network connections
view network connections,Dycovid - Dynamic Contact Tracing,1,app,Dycovid - Dynamic Contact Tracing,1,Dycovid - Dynamic Contact Tracing,view network connections
view network connections,e-Saúde SP,1,app,e-Saúde SP,1,e-Saúde SP,view network connections
view network connections,ISUS,1,app,ISUS,1,ISUS,view network connections
view network connections,KeyApp,1,app,KeyApp,1,KeyApp,view network connections
view network connections,Mais Saúde Cidadão,1,app,Mais Saúde Cidadão,1,Mais Saúde Cidadão,view network connections
view network connections,Meu Info Sáude,1,app,Meu Info Sáude,1,Meu Info Sáude,view network connections
view network connections,Minha Saúde,1,app,Minha Saúde,1,Minha Saúde,view network connections
view network connections,Monitora Covid-19,1,app,Monitora Covid-19,1,Monitora Covid-19,view network connections
view network connections,Pronto Mobile,1,app,Pronto Mobile,1,Pronto Mobile,view network connections
view network connections,Santa Isabel Contra o Coronavírus,1,app,Santa Isabel Contra o Coronavírus,1,Santa Isabel Contra o Coronavírus,view network connections
view network connections,SASI,1,app,SASI,1,SASI,view network connections
view network connections,Saúde Aparecida,1,app,Saúde Aparecida,1,Saúde Aparecida,view network connections
view network connections,Saúde Digital MG - Covid-19,1,app,Saúde Digital MG - Covid-19,1,Saúde Digital MG - Covid-19,view network connections
view network connections,Saúde Online PR,1,app,Saúde Online PR,1,Saúde Online PR,view network connections
view network connections,Saúde Santo André,1,app,Saúde Santo André,1,Saúde Santo André,view network connections
view network connections,Simot,1,app,Simot,1,Simot,view network connections
view network connections,Telemedicina Paraná,1,app,Telemedicina Paraná,1,Telemedicina Paraná,view network connections
Google Play license check,Ceará App,1,app,Ceará App,1,Ceará App,Google Play license check
Google Play license check,Distanciamento Controlado RS,1,app,Distanciamento Controlado RS,1,Distanciamento Controlado RS,Google Play license check
Google Play license check,ISUS,1,app,ISUS,1,ISUS,Google Play license check
